location_lvl_id1,location_lvl_nm1,location_lvl_desc1,location_lvl_id2,location_lvl_nm2,location_lvl_desc2,location_lvl_id3,location_lvl_nm3,location_lvl_desc3,location_lvl_id4,location_lvl_nm4,location_lvl_desc4,location_lvl_id5,location_lvl_nm5,location_lvl_desc5,location_id,location_nm,location_desc,open_dttm,close_dttm,modified_dttm,delete_flg
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,9000099755,nm 9000099755,desc 9000099755,27DEC2017:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,9000102750,nm 9000102750,desc 9000102750,16JUL2018:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,9000102755,nm 9000102755,desc 9000102755,10DEC2019:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,9000102760,nm 9000102760,desc 9000102760,30JUN2018:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,9000103500,nm 9000103500,desc 9000103500,20APR2018:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,9000104250,nm 9000104250,desc 9000104250,01JAN1900:00:00:00,18DEC2017:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,9000111025,nm 9000111025,desc 9000111025,18MAY2018:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,9000124504,nm 9000124504,desc 9000124504,01NOV2018:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,9000132750,nm 9000132750,desc 9000132750,08JUN2019:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,9000132755,nm 9000132755,desc 9000132755,05MAY2019:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,9000135750,nm 9000135750,desc 9000135750,27AUG2019:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,9000136500,nm 9000136500,desc 9000136500,07NOV2019:00:00:00,01JAN1900:00:00:00,28MAY2021:14:34:35,0
10000000,All company LLL,All company LLL,1001001,All company LLL,All company LLL,1000222,nm 1000222,desc 1000222,1000337,nm 1000337,desc 1000337,1100337,nm1100337,nm1100337,9000156025,nm 9000156025,desc 9000156025,01JAN1900:00:00:00,08JUN2020:00:00:00,28MAY2021:14:34:35,0
