PROMO_ID,PRODUCT_ID,LOCATION_ID,CUSTOMER_ID,DISTR_CHANNEL_ID,PERIOD_START_DT,PERIOD_END_DT,PROMO_PRICE,PROMO_TYPE,MODIFIED_DTTM,DELETE_FLG
4177,8000054507,5637146288,,,09APR2018,30APR2018,1740.1785714,1,28MAY2021:14:34:36,0
4178,8000054507,5637146288,,,29OCT2018,03DEC2018,974.5,1,28MAY2021:14:34:36,0
4179,8000054507,5637146288,,,17DEC2018,31DEC2018,974.5,1,28MAY2021:14:34:36,0
4180,8000054507,5637146288,,,18FEB2019,25FEB2019,1259.4,1,28MAY2021:14:34:36,0
4181,8000054507,5637146288,,,03JUN2019,01JUL2019,1259.4,1,28MAY2021:14:34:36,0
4182,8000054507,5637146288,,,29JUL2019,12AUG2019,2099,1,28MAY2021:14:34:36,0
4183,8000054507,5637146288,,,09SEP2019,30SEP2019,1574.25,1,28MAY2021:14:34:36,0
4184,8000054507,5637146288,,,04NOV2019,02DEC2019,1049.5,1,28MAY2021:14:34:36,0
4185,8000054507,5637146288,,,16DEC2019,06JAN2020,1049.5,1,28MAY2021:14:34:36,0
4186,8000054507,5637146288,,,02MAR2020,09MAR2020,1049.5,1,28MAY2021:14:34:36,0
4187,8000054507,5637146294,,,21DEC2015,28DEC2015,749.53,1,28MAY2021:14:34:36,0
4188,8000054507,5637146294,,,04APR2016,02MAY2016,749.53,1,28MAY2021:14:34:36,0
4189,8000054507,5637146294,,,11JUL2016,18JUL2016,749.53,1,28MAY2021:14:34:36,0
4190,8000054507,5637146294,,,29AUG2016,03OCT2016,749.53,1,28MAY2021:14:34:36,0
4191,8000054507,5637146294,,,31OCT2016,02JAN2017,749.53,1,28MAY2021:14:34:36,0
4192,8000054507,5637146294,,,30JAN2017,06FEB2017,749.53,1,28MAY2021:14:34:36,0
4193,8000054507,5637146294,,,20FEB2017,06MAR2017,749.53,1,28MAY2021:14:34:36,0
4194,8000054507,5637146294,,,03APR2017,31JUL2017,749.53,1,28MAY2021:14:34:36,0
4195,8000054507,5637146294,,,04SEP2017,11DEC2017,749.53,1,28MAY2021:14:34:36,0
4196,8000054507,5637146297,,,21DEC2015,28DEC2015,1049.4,1,28MAY2021:14:34:36,0
4197,8000054507,5637146297,,,04APR2016,02MAY2016,1085.871429,1,28MAY2021:14:34:36,0
4198,8000054507,5637146297,,,11JUL2016,18JUL2016,974.5,1,28MAY2021:14:34:36,0
4199,8000054507,5637146297,,,29AUG2016,03OCT2016,974.5,1,28MAY2021:14:34:36,0
4200,8000054507,5637146297,,,31OCT2016,02JAN2017,974.5,1,28MAY2021:14:34:36,0
4201,8000054507,5637146297,,,30JAN2017,06FEB2017,974.5,1,28MAY2021:14:34:36,0
4202,8000054507,5637146297,,,20FEB2017,06MAR2017,1266.85,1,28MAY2021:14:34:36,0
4203,8000054507,5637146297,,,03APR2017,31JUL2017,974.5,1,28MAY2021:14:34:36,0
4204,8000054507,5637146297,,,04SEP2017,11DEC2017,974.5,1,28MAY2021:14:34:36,0
4205,8000054507,5637146297,,,29JAN2018,29JAN2018,974.5,1,28MAY2021:14:34:36,0
4206,8000054507,5637146297,,,19FEB2018,12MAR2018,974.5,1,28MAY2021:14:34:36,0
4207,8000054507,5637146297,,,26MAR2018,26MAR2018,974.5,1,28MAY2021:14:34:36,0
4208,8000054507,5637146297,,,09APR2018,30APR2018,974.5,1,28MAY2021:14:34:36,0
4209,8000054507,5637146300,,,21DEC2015,28DEC2015,874.5,1,28MAY2021:14:34:36,0
4210,8000054507,5637146300,,,04APR2016,02MAY2016,1058.028571,1,28MAY2021:14:34:36,0
4211,8000054507,5637146300,,,11JUL2016,18JUL2016,974.5,1,28MAY2021:14:34:36,0
4212,8000054507,5637146300,,,29AUG2016,03OCT2016,974.5,1,28MAY2021:14:34:36,0
4213,8000054507,5637146300,,,31OCT2016,02JAN2017,974.5,1,28MAY2021:14:34:36,0
4214,8000054507,5637146300,,,30JAN2017,06FEB2017,974.5,1,28MAY2021:14:34:36,0
4215,8000054507,5637146300,,,20FEB2017,06MAR2017,974.5,1,28MAY2021:14:34:36,0
4216,8000054507,5637146300,,,03APR2017,31JUL2017,974.5,1,28MAY2021:14:34:36,0
4217,8000054507,5637146300,,,04SEP2017,11DEC2017,974.5,1,28MAY2021:14:34:36,0
4218,8000054507,5637146303,,,21DEC2015,28DEC2015,1049.4,1,28MAY2021:14:34:36,0
4219,8000054507,5637146303,,,04APR2016,02MAY2016,1058.028571,1,28MAY2021:14:34:36,0
4220,8000054507,5637146303,,,11JUL2016,18JUL2016,974.5,1,28MAY2021:14:34:36,0
4221,8000054507,5637146303,,,29AUG2016,03OCT2016,974.5,1,28MAY2021:14:34:36,0
4222,8000054507,5637146303,,,31OCT2016,02JAN2017,974.5,1,28MAY2021:14:34:36,0
4223,8000054507,5637146303,,,30JAN2017,06FEB2017,974.5,1,28MAY2021:14:34:36,0
4224,8000054507,5637146303,,,20FEB2017,06MAR2017,1266.85,1,28MAY2021:14:34:36,0
